Sep-18,Sep-17,ProgrammingLanguage,Ratings,Change
1,1,Java,17.44%,4.75%
2,2,C,15.45%,8.06%
3,5,Python,7.65%,4.67%
4,3,C++,7.39%,1.83%
5,8,Visual Basic .NET,5.31%,3.33%
6,4,C#,3.30%,-1.48%
7,6,PHP,2.78%,0.57%
8,7,JavaScript,2.13%,0.11%
9,-,SQL,2.06%,2.06%
10,18,Objective-C,1.51%,0.00%
11,12,Delphi/Object Pascal,1.29%,-0.49%
12,10,Ruby,1.29%,-0.64%
13,16,MATLAB,1.28%,-0.35%
14,15,Assembly language,1.23%,-0.41%
15,13,Swift,1.22%,-0.54%
16,17,Go,1.08%,-0.49%
17,9,Perl,1.07%,-0.88%
18,11,R,1.02%,-0.80%
19,19,PL/SQL,0.85%,-0.63%
20,14,Visual Basic,0.68%,-1.07%
